fid,name_id,name,status,feat_id,feat_type,nzgb_ref,land_district,crd_projection,crd_north,crd_east,crd_datum,crd_latitude,crd_longitude,info_ref,info_origin,info_description,info_note,feat_note,maori_name,cpa_legislation,conservancy,doc_cons_unit_no,doc_gaz_ref,treaty_legislation,geom_type,accuracy,gebco,region,scufn,height,ant_pn_ref,ant_pgaz_ref,scar_id,scar_rec_by,accuracy_rating,desc_code,rev_gaz_ref,rev_treaty_legislation
"563","30366",Motueka,Official Approved,"115339",Town,2015-ln6235,Nelson,NZTM,5448940,1600975,NZGD2000,-41.110826,173.011613,LINZ file reference GES-N15-01-07/1670,,"Feature shown on: NZMS260 N26 Edition 1 1986; NZTopo50-BP25 010489",,,Yes,,,,,,POINT,,,,,,,,,,"1",TOWN,,
"636","7427",Riverton/Aparima,Official Altered,"26134",Town,,Southland,NZTM,4854691,1216511.9,NZGD2000,-46.352586,168.015392,File BRD-02-02-00-07,,"Feature shown on: NZMS260-D46 263170; NZTopo50-CG09 165546;",,,Yes,,,,,Section 269 and Schedule 96 Ngāi Tahu Claims Settlement Act 1998,POINT,,,,,,,,,,,,,
"696","55323",Riverton,Unofficial Replaced,"26134",Town,,Southland,NZTM,4854691,1216511.9,NZGD2000,-46.352586,168.015392,,"Southland's oldest town, founded in 1837 by John Howell who started a whaling station here for Johnny Johes. It was formerly known as Jacob River Settlement, after Jacob, a Māori who resided on a patch of cultivation known as Jacobs Garden. ","Feature shown on: NZMS260-D46 263170; NZTopo50-CG09 165546;",,,No,,,,,,POINT,,,,,,,,,,,,,Section 269 and Schedule 96 Ngāi Tahu Claims Settlement Act 1998
"730","7309",Colac Bay/Ōraka,Official Altered,"26016",Town,,Southland,NZTM,4852931.6,1205838.3,NZGD2000,-46.362234,167.875734,File BRD-02-02-00-07,,"Feature shown on: NZMS260-D46 182147; NZTopo50-CG09 058529;",,,Yes,,,,,Section 269 and Schedule 96 Ngāi Tahu Claims Settlement Act 1998,POINT,,,,,,,,,,,,,
"779","50361",Mount Cook,Unofficial Replaced,"26005",Town,1971 (13) p.259,Canterbury,NZTM,5153454.8,1366314.3,NZGD2000,-43.735107,170.098209,"Corres XLI pp 70,80",Replaced by Aoraki/Mount Cook (Ngāi Tahu Claims Setlement Act 1998),"Feature shown on: NZMS260-H36 764154; NZTopo50-BY15 663534;",,,No,,,,,,POINT,,,,,,,,,,,,,Section 269 and Schedule 96 Ngāi Tahu Claims Settlement Act 1998
"783","50541",Oraka,Unofficial Replaced,"26016",Town,,Southland,NZTM,4852931.6,1205838.3,NZGD2000,-46.362234,167.875734,"Corres XXVII p140, XXV pp 178,273",Original name for Colac. Colac is retained as it has been so long in use (1930 Hon p. 6). Described as Oraka -> Ko raka -> Colac,"Feature shown on: NZMS260-D46 182147; NZTopo50-CG09 058529;",,,Yes,,,,,,POINT,,,,,,,,,,,,1948 (42) p.939,
"1094","38469",Richmond,Official Approved,"123452",Town,2016-ln6039,Nelson,NZTM,5423574,1615518.7,NZGD2000,-41.339171,173.185478,LINZ file reference GES-N15-01-07/1670,"Reed - 'Richmond: Tasman, 13 km from Nelson. George Snow, a tailor who settled here in 1842, named the locality after his English home, Richmond-on-Thames in Surrey. The hotel that opened in 1843 was the Star and Garter, the name of a famous hotel in the English Richmond. Beside the hotel rose a group of mud cottages thatched with rushes.'

NZGB Card Index has the same history, with a reference to Nelson Evening Mail 11/1/45.
","Feature shown on: NZMS260 N27 Edition 1 1987; NZTopo50-BQ26 155236",,,No,,,,,,POINT,,,,,,,,,,"5",USAT,,
"1261","40686",Stoke,Official Approved,"125669",Town,2016-ln6039,Nelson,NZTM,5426068.6,1619434.6,NZGD2000,-41.316616,173.2322,LINZ file reference GES-N15-01-07/1670,"Reed - 'Stoke: Nelson, 7 km from Nelson. Named by William Songer, the personal servant of Captain Arthur Wakefield, after Stoke-by- Nayland in Suffolk, England. Songer had been born in this village and it was also the home of the Torlesse family, of whom Songer had been a retainer. An early name was Brook Green'

NZGB Card Index: as above, refer Nelson Evening Mail 11/1/45""
","Feature shown on: NZMS260 N27 Edition 1 1987; NZTopo50-BQ26 194260",,,No,,,,,,POINT,,,,,,,,,,"5",USAT,,
"2519","16087",Balclutha,Unofficial Recorded,"101048",Town,,Otago,NZTM,4874292,1348596.2,NZGD2000,-46.238423,169.739136,,,Feature shown on: NZMS260 H46 Edition 1 1981,,,No,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"2859","50873",Tauhara,Unofficial Replaced,"17022",Town,,South Auckland,NZTM,5708986.7,1866980.3,NZGD2000,-38.727471,176.071137,,Replaced by Wharewaka 18/02/1971 13:259,"The township situated on the eastern shore of Lake Taupo, approximately 2 miles south of Taupo Borough. Feature shown on: NZMS260 U18 Edition 1 1987 Reprinted 1987",,,Yes,,,,,,POINT,,,,,,,,,,,,1971 (13) p.259,
"3070","2442",Kawhia,Official Assigned,"12644",Town,1948 (42) p.939,South Auckland,NZTM,5785300,1759600,NZGD2000,-38.065995,174.819381,,,North side of the inlet of Kawhia Harbour south of Te Wharu Bay.,,,Yes,,,,,,POINT,,,,,,,,,,,,,
"3086","2607",Kuratau,Official Assigned,"12821",Town,1976 (110) p.2453,Wellington,NZTM,5691515.3,1840284.6,NZGD2000,-38.892395,175.770491,,,The locality at Te Rae Point on the western shore of Lake Taupo,,,Yes,,,,,,POINT,,,,,,,,,,,,,
"3479","49860",Hanmer,Unofficial Replaced,"12029",Town,1951 (55) p.1019,Canterbury,NZTM,5292005.8,1586148.6,NZGD2000,-42.524202,172.831358,,Confirming Hanmer (1939 Hon p. 9). Hanmer Springs reinstated by 29/09/1960 61:1515,Formerly known as Hanmer Springs,,,No,,,,,,POINT,,,,,,,,,,,,1960 (61) p.515,
"3769","50809",South Township,Unofficial Replaced,"14950",Town,,Canterbury,NZTM,5119519,1469709.5,NZGD2000,-44.065918,171.373111,,Replaced by Rangitata 26/11/1953 67:1920,"Locality on the South bank of the Rangitata River, 35km South-west of Ashburton, and 21km North of Temuka.  Geraldine Survey District.",,,No,,,,,,POINT,,,,,,,,,,,,1953 (67) p.1920,
"3832","51020",Torea,Unofficial Replaced,"11929",Town,,Nelson,NZTM,5390759.9,1504646.5,NZGD2000,-41.629193,171.855264,,Replaced by Granity Town 16/11/1950 70:1989,"locality on the Nelson Coast, facing the Tasman Sea, at the mouth of Granity Stream.  Ngakawau Survey District.",,,Yes,,,,,,POINT,,,,,,,,,,,,1950 (70) p.1989,
"4104","51209",Wataroa,Unofficial Replaced,"17036",Town,,Westland,NZTM,5206585.7,1386108,NZGD2000,-43.263185,170.364608,,Replaced by Whataroa 19/07/1951 55:1019,"Locality on the main West Coast highway, 3km West of the Whataroa River, and 20km North-west of Franz Josef/ Waiau.  Whataroa Survey District.",,,Yes,,,,,,POINT,,,,,,,,,,,,1951 (55) p.1019,
"4221","49761",Colac,Unofficial Replaced,"26016",Town,1948 (42) p.939,Southland,NZTM,4852931.6,1205838.3,NZGD2000,-46.362234,167.875734,,,"Feature shown on: NZMS260-D46 182147; NZTopo50-CG09 058529;",,,Yes,,,,,,POINT,,,,,,,,,,,,,Section 269 and Schedule 96 Ngāi Tahu Claims Settlement Act 1998
"4226","49857",Hampden,Unofficial Replaced,"13815",Town,,Nelson,NZTM,5372171.5,1543990.4,NZGD2000,-41.800343,172.325805,,Replaced by Murchison 19/01/1950 4:39,Locality on the junction of the Buller and Mangles Rivers.  Tutaki Survey District. Feature shown on: NZMS260 M29 Edition 1 1987,,,No,,,,,,POINT,,,,,,,,,,,,1950 (4) p.39,
"4243","50351",Motuopa,Unofficial Replaced,"13752",Town,,South Auckland,NZTM,5686738,1849151.6,NZGD2000,-38.932922,175.874345,,Replaced by Motuoapa 26/11/1953 67:1920,Locality in bay in Lake Taupo.  Block III Tokaanu Survey District. Feature shown on: NZMS260 T19 Edition 2 1994,,,Yes,,,,,,POINT,,,,,,,,,,,,1953 (67) p.1920,
"4275","50807",South Rakaia,Unofficial Replaced,"14922",Town,,Canterbury,NZTM,5154804.8,1521514.2,NZGD2000,-43.755644,172.025053,,Replaced by Rakaia 26/11/1953 67:1920,"Locality on the South bank of the Rakaia River, 27km North-east of Ashburton.  Rakaia Survey District. Feature shown on: NZMS260 L36 Edition 1 1982",,,Yes,,,,,,POINT,,,,,,,,,,,,1953 (67) p.1920,
"4810","57461",Mangakino,Unofficial Recorded,"138735",Town,,South Auckland,NZTM,5749623.2,1842424.9,NZGD2000,-38.368763,175.774891,,,"Feature shown on NZMS 260 T16; NZTopo50-BF35 424496",,,No,,,,,,POINT,,,,,,,,,,,,,
"4811","50173",Manawatu Heads,Unofficial Replaced,"11722",Town,,Wellington,NZTM,5518279.3,1789130.1,NZGD2000,-40.464647,175.230789,,Replaced by Foxton Beach 19/07/1951 55:1019,Locality situated on the North bank at the mouth of the Manawatu River.  Moutere Survey District.,,,Yes,,,,,,POINT,,,,,,,,,,,,1951 (55) p.1019,
"5495","18448",Christchurch,Unofficial Recorded,"103411",Town,,Canterbury,NZTM,5180154.7,1570614.6,NZGD2000,-43.530972,172.636333,,,Feature shown on: NZMS260 M35 Edition 1 1984,,,No,,,,,,POINT,,,,,,,,,,"6",METR,,
"5717","19302",Dannevirke,Unofficial Recorded,"104266",Town,,Hawke's Bay,NZTM,5544125,1863388.1,NZGD2000,-40.21193,176.094963,,,Feature shown on: NZMS260 U23 Edition 1 1985,,,No,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"6503","22435",Havelock North,Unofficial Recorded,"107401",Town,,Hawke's Bay,NZTM,5601729.8,1932593.7,NZGD2000,-39.669541,176.877198,,,Feature shown on: NZMS260 V21 Edition 1 1981 Limited Revision 1996,,,No,,,,,,POINT,,,,,,,,,,"5",USAT,,
"6894","24243",Kaitaia,Unofficial Recorded,"109209",Town,,North Auckland,NZTM,6114274.3,1624029.5,NZGD2000,-35.114077,173.263699,,,Feature shown on: NZMS260 O04 Edition 1 1984,,,Yes,,,,,,POINT,,,,,,,,,,"1",TOWN,,
"10238","34789",Owaka,Unofficial Recorded,"119770",Town,,Otago,NZTM,4850311,1343538.2,NZGD2000,-46.451992,169.660534,,,Feature shown on: NZMS260 H46 Edition 1 1981,,,Yes,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"10496","22902",Hokitika,Unofficial Recorded,"107868",Town,,Westland,NZTM,5268576.9,1433263.6,NZGD2000,-42.717214,170.963713,,,Feature shown on: NZMS260 J32,,,Yes,,,,,,POINT,,,,,,,,,,"6",TOWN,,
"11550","44066",Timaru,Unofficial Recorded,"129051",Town,,Canterbury,NZTM,5082390.8,1461050.8,NZGD2000,-44.398444,171.255194,,,Feature shown on: NZMS260 J39 K39,,,Yes,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"11909","44115",Tinwald,Unofficial Recorded,"129100",Town,,Canterbury,NZTM,5136257.9,1497304.6,NZGD2000,-43.919635,171.720825,,,Feature shown on: NZMS260 K37 Edition 1 1985,,,No,,,,,,POINT,,,,,,,,,,"5",USAT,,
"12031","15776",Ashburton,Unofficial Recorded,"100737",Town,,Canterbury,NZTM,5137868.3,1499206.8,NZGD2000,-43.905401,171.744818,,,Feature shown on: NZMS260 K37 Edition 1 1985,,,No,,,,,,POINT,,,,,,,,,,"6",TOWN,,
"12138","18602",Clive,Unofficial Recorded,"103566",Town,,Hawke's Bay,NZTM,5610791.1,1936045.2,NZGD2000,-39.586736,176.912747,,,Feature shown on: NZMS260 V21 Edition 1 1981 Limited Revision 1996,,,No,,,,,,POINT,,,,,,,,,,"5",USAT,,
"12416","27020",Lyttelton,Unofficial Recorded,"111992",Town,,Canterbury,NZTM,5172132.7,1577405.1,NZGD2000,-43.603439,172.720035,,,Feature shown on: NZMS260 M36,,,No,,,,,,POINT,,,,,,,,,,"6",USAT,,
"12681","32935",Oamaru,Unofficial Recorded,"117912",Town,,Otago,NZTM,5004238.8,1440447.1,NZGD2000,-45.097315,170.972173,,,Feature shown on: NZMS260 J41,,,Yes,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"12914","36575",Port Chalmers,Unofficial Recorded,"121557",Town,,Otago,NZTM,4923341.3,1415168.7,NZGD2000,-45.818715,170.620734,,,Feature shown on: NZMS260 I44 J44 Edition 2 1987,,,No,,,,,,POINT,,,,,,,,,,"5",USAT,,
